Age,Attrition,BusinessTravel,Department,DistanceFromHome,EmployeeNumber,EnvironmentSatisfaction,JobInvolvement,JobRole,JobSatisfaction,MonthlyIncome,NumCompaniesWorked,OverTime,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
34,Yes,Travel_Rarely,Research & Development,6,31,2,3,Research Scientist,1,2960,2,No,2,3,4,2,1,3
53,No,Travel_Rarely,Research & Development,5,32,3,3,Manager,3,19094,4,No,3,2,14,13,4,8
32,Yes,Travel_Frequently,Research & Development,16,33,2,1,Research Scientist,1,3919,1,Yes,5,3,10,2,6,7
42,No,Travel_Rarely,Sales,8,35,3,3,Sales Executive,2,6825,0,No,2,3,9,7,4,2
44,No,Travel_Rarely,Research & Development,7,36,1,2,Healthcare Representative,4,10248,3,No,4,3,22,6,5,17
46,No,Travel_Rarely,Sales,2,38,2,3,Manager,1,18947,3,No,2,2,2,2,2,1
33,No,Travel_Rarely,Research & Development,2,39,3,3,Laboratory Technician,4,2496,4,No,3,3,1,1,0,0
44,No,Travel_Rarely,Research & Development,10,40,4,3,Healthcare Representative,4,6465,2,Yes,5,4,4,2,1,3
30,No,Travel_Rarely,Research & Development,9,41,4,2,Laboratory Technician,3,2206,1,No,5,3,10,0,1,8
39,Yes,Travel_Rarely,Sales,5,42,4,3,Sales Representative,4,2086,3,No,6,4,1,0,0,0
24,Yes,Travel_Rarely,Research & Development,1,45,2,3,Research Scientist,4,2293,2,Yes,2,2,2,0,2,0
43,No,Travel_Rarely,Research & Development,2,46,4,4,Research Scientist,3,2645,1,No,3,2,5,3,1,4
50,Yes,Travel_Rarely,Sales,3,47,1,2,Sales Representative,3,2683,1,Yes,2,3,3,2,0,2
35,No,Travel_Rarely,Sales,2,49,4,3,Sales Representative,4,2014,1,No,3,3,2,2,2,2
36,No,Travel_Rarely,Research & Development,5,51,2,2,Research Scientist,1,3419,9,Yes,3,4,1,1,0,0
33,No,Travel_Frequently,Sales,1,52,3,4,Sales Executive,1,5376,2,No,3,3,5,3,1,3
35,No,Travel_Rarely,Research & Development,4,53,3,3,Laboratory Technician,4,1951,1,No,3,3,1,0,0,0
27,No,Travel_Rarely,Research & Development,2,54,4,3,Laboratory Technician,1,2341,1,No,6,3,1,0,0,0
26,Yes,Travel_Rarely,Research & Development,25,55,1,1,Laboratory Technician,3,2293,1,No,2,2,1,0,0,1
27,No,Travel_Frequently,Sales,8,56,4,3,Sales Executive,3,8726,1,No,0,3,9,8,1,7
30,No,Travel_Frequently,Research & Development,1,57,3,3,Laboratory Technician,4,4011,1,No,2,3,12,8,3,7
41,Yes,Travel_Rarely,Research & Development,12,58,2,3,Research Director,3,19545,1,No,0,3,22,15,15,8
34,No,Non-Travel,Sales,23,60,2,3,Sales Executive,3,4568,0,No,2,3,9,5,8,7
37,No,Travel_Rarely,Research & Development,19,61,2,3,Research Scientist,2,3022,4,No,1,3,1,0,0,0
46,No,Travel_Frequently,Sales,5,62,1,3,Sales Executive,4,5772,4,Yes,4,3,9,6,0,8
35,No,Travel_Rarely,Research & Development,8,63,4,4,Laboratory Technician,4,2269,1,No,2,3,1,0,0,1
48,Yes,Travel_Rarely,Research & Development,1,64,1,2,Laboratory Technician,3,5381,9,Yes,2,3,1,0,0,0
28,Yes,Travel_Rarely,Research & Development,5,65,3,3,Laboratory Technician,3,3441,1,Yes,3,2,2,2,2,2
44,No,Travel_Rarely,Sales,1,68,2,3,Sales Executive,1,5454,5,Yes,2,2,4,3,1,3
35,No,Non-Travel,Research & Development,11,70,3,2,Healthcare Representative,1,9884,2,Yes,3,3,4,0,2,3
26,No,Travel_Rarely,Sales,23,72,3,2,Sales Executive,4,4157,7,Yes,2,2,2,2,0,0
33,No,Travel_Frequently,Research & Development,1,73,1,3,Research Director,4,13458,1,Yes,1,3,15,14,8,12
35,No,Travel_Frequently,Sales,18,74,2,3,Sales Executive,1,9069,1,No,3,2,9,8,1,8
35,No,Travel_Rarely,Research & Development,23,75,3,3,Laboratory Technician,1,4014,3,Yes,3,3,2,2,2,2
31,No,Travel_Rarely,Research & Development,7,76,4,3,Laboratory Technician,4,5915,3,No,3,2,7,7,1,7
37,No,Travel_Rarely,Research & Development,1,77,1,2,Manufacturing Director,3,5993,1,No,2,4,7,5,0,7
32,No,Travel_Rarely,Research & Development,1,78,1,3,Manufacturing Director,4,6162,1,Yes,3,3,9,8,7,8
38,No,Travel_Frequently,Research & Development,29,79,4,3,Laboratory Technician,4,2406,1,No,2,3,10,3,9,9
50,No,Travel_Rarely,Research & Development,7,80,2,2,Research Director,3,18740,5,Yes,2,2,27,3,13,8
59,No,Travel_Rarely,Sales,25,81,1,3,Sales Executive,1,7637,7,No,3,2,21,16,7,9
36,No,Travel_Rarely,Research & Development,8,83,3,3,Healthcare Representative,3,10096,1,No,2,3,17,14,12,8
55,No,Travel_Rarely,Research & Development,8,84,4,3,Manager,3,14756,2,Yes,2,3,5,0,0,2
36,No,Travel_Frequently,Research & Development,11,85,2,2,Manufacturing Director,2,6499,1,No,3,3,6,5,0,3
45,No,Travel_Rarely,Research & Development,7,86,2,3,Research Scientist,1,9724,2,No,2,3,1,0,0,0
35,No,Travel_Frequently,Research & Development,1,88,2,3,Research Scientist,1,2194,4,No,2,2,3,2,1,2
36,Yes,Travel_Rarely,Research & Development,9,90,4,2,Research Scientist,3,3388,0,Yes,0,2,1,0,0,0
59,No,Travel_Frequently,Sales,1,91,1,2,Sales Executive,3,5473,7,No,2,2,4,3,1,3
29,No,Travel_Rarely,Research & Development,2,94,3,3,Research Scientist,2,2703,0,No,3,3,5,4,0,4
31,No,Travel_Rarely,Research & Development,1,95,3,3,Research Scientist,2,2501,1,No,4,3,1,1,1,0
32,No,Travel_Rarely,Research & Development,1,96,2,3,Research Scientist,2,6220,1,No,3,3,10,4,0,9
36,No,Travel_Rarely,Research & Development,6,97,2,4,Laboratory Technician,4,3038,3,No,3,3,1,0,0,0
31,No,Travel_Rarely,Research & Development,8,98,3,3,Manufacturing Director,4,4424,1,No,2,3,11,7,1,8
35,No,Travel_Rarely,Sales,1,100,3,2,Sales Executive,1,4312,0,No,2,3,15,13,2,8
45,No,Travel_Rarely,Research & Development,6,101,4,3,Research Director,1,13245,4,Yes,3,4,0,0,0,0
37,No,Travel_Rarely,Research & Development,7,102,1,3,Research Director,3,13664,4,No,3,4,5,2,0,2
46,No,Travel_Rarely,Human Resources,5,103,2,3,Human Resources,2,5021,8,Yes,2,3,4,2,0,2
30,No,Travel_Rarely,Research & Development,1,104,4,2,Laboratory Technician,4,5126,1,Yes,1,2,10,8,3,0
35,No,Travel_Rarely,Research & Development,1,105,2,2,Research Scientist,3,2859,1,No,3,3,6,4,0,4
55,No,Travel_Rarely,Sales,1,106,1,3,Sales Executive,4,10239,3,No,4,3,1,0,1,0
38,No,Non-Travel,Research & Development,6,107,2,1,Research Scientist,4,5329,7,Yes,3,3,13,11,1,9
34,No,Travel_Rarely,Research & Development,1,110,1,3,Manufacturing Director,2,4325,1,No,2,3,5,2,1,3
56,No,Travel_Rarely,Research & Development,7,112,4,1,Manufacturing Director,4,7260,4,No,3,2,6,4,0,2
23,No,Travel_Rarely,Sales,2,113,3,3,Sales Representative,1,2322,3,No,3,3,0,0,0,0
51,No,Travel_Rarely,Research & Development,9,116,4,3,Laboratory Technician,4,2075,3,No,4,3,4,2,0,3
30,No,Travel_Rarely,Research & Development,2,117,3,2,Healthcare Representative,4,4152,1,No,3,3,11,10,10,8
46,Yes,Travel_Rarely,Sales,9,118,3,2,Sales Executive,4,9619,1,No,3,3,9,8,4,7
40,No,Travel_Frequently,Research & Development,1,119,3,2,Healthcare Representative,2,13503,1,No,3,2,22,3,11,11
51,No,Travel_Rarely,Sales,21,120,3,3,Sales Executive,4,5441,0,Yes,2,1,10,7,1,0
30,No,Travel_Rarely,Sales,4,121,3,2,Sales Executive,2,5209,1,Yes,4,2,11,8,2,7
46,No,Travel_Frequently,Research & Development,1,124,3,2,Healthcare Representative,1,10673,2,Yes,5,2,10,9,9,5
32,No,Travel_Rarely,Sales,6,125,2,3,Sales Executive,3,5010,1,No,0,3,11,8,5,7
54,No,Travel_Rarely,Research & Development,2,126,1,3,Research Director,3,13549,9,No,5,1,4,3,0,3
24,No,Travel_Rarely,Sales,3,128,1,3,Sales Executive,3,4999,0,No,2,2,3,2,0,2
28,No,Non-Travel,Sales,4,129,2,3,Sales Executive,3,4221,1,No,3,4,5,4,0,4
58,No,Travel_Rarely,Sales,10,131,4,3,Sales Executive,3,13872,0,No,1,2,37,10,1,8
44,No,Non-Travel,Research & Development,23,132,2,3,Laboratory Technician,2,2042,4,No,3,4,3,2,1,2
37,Yes,Travel_Rarely,Human Resources,6,133,3,3,Human Resources,1,2073,4,Yes,3,3,3,2,0,2
32,No,Travel_Rarely,Research & Development,1,134,4,3,Research Scientist,1,2956,1,No,2,3,1,0,0,0
20,Yes,Travel_Frequently,Research & Development,6,137,4,2,Laboratory Technician,4,2926,1,Yes,5,3,1,0,1,0
34,No,Travel_Rarely,Research & Development,6,138,1,3,Research Scientist,3,4809,1,No,3,3,16,13,2,10
37,No,Non-Travel,Research & Development,2,139,3,2,Healthcare Representative,4,5163,5,No,2,4,1,0,0,0
59,No,Non-Travel,Human Resources,2,140,3,2,Manager,4,18844,9,No,3,3,3,2,2,2
50,No,Travel_Frequently,Research & Development,1,141,1,3,Research Director,2,18172,3,Yes,1,2,8,3,0,7
25,Yes,Travel_Rarely,Sales,5,142,3,2,Sales Executive,3,5744,1,Yes,1,3,6,4,0,3
25,No,Travel_Rarely,Research & Development,7,143,4,2,Research Scientist,4,2889,1,No,2,3,2,2,2,1
22,No,Travel_Rarely,Research & Development,15,144,2,3,Laboratory Technician,4,2871,1,No,5,3,0,0,0,0
51,No,Travel_Frequently,Research & Development,1,145,1,2,Healthcare Representative,1,7484,3,No,1,2,13,12,12,8
34,Yes,Travel_Frequently,Research & Development,7,147,1,1,Laboratory Technician,3,6074,1,Yes,3,3,9,7,0,6
54,No,Non-Travel,Human Resources,26,148,4,4,Manager,4,17328,2,Yes,3,3,5,3,4,4
24,No,Travel_Rarely,Research & Development,18,150,2,3,Laboratory Technician,3,2774,0,No,2,3,5,3,1,2
34,No,Travel_Rarely,Research & Development,6,151,3,2,Research Scientist,2,4505,6,No,3,3,1,0,0,0
37,No,Travel_Rarely,Sales,3,152,3,3,Sales Executive,4,7428,2,No,3,3,5,3,1,3
34,No,Travel_Rarely,Research & Development,5,153,3,2,Manager,1,11631,2,No,6,3,11,10,5,8
36,No,Travel_Frequently,Sales,11,154,2,3,Sales Executive,4,9738,0,No,6,3,9,7,2,8
36,No,Travel_Rarely,Research & Development,3,155,1,3,Laboratory Technician,4,2835,5,No,2,3,1,0,0,0
43,No,Travel_Frequently,Sales,26,158,3,3,Manager,4,16959,1,Yes,3,4,25,12,4,12
30,No,Travel_Frequently,Research & Development,23,159,1,1,Research Scientist,3,2613,1,No,2,2,10,7,0,9
33,No,Non-Travel,Sales,22,160,3,3,Sales Executive,2,6146,0,No,2,4,7,7,0,7
56,Yes,Travel_Rarely,Research & Development,14,161,2,3,Research Scientist,2,4963,9,Yes,2,3,5,4,4,3
51,No,Travel_Rarely,Research & Development,6,162,1,3,Research Director,3,19537,7,No,5,3,20,18,15,15
31,Yes,Travel_Rarely,Sales,6,163,2,1,Sales Executive,3,6172,4,Yes,3,2,7,7,7,7
26,No,Travel_Rarely,Research & Development,6,164,3,2,Research Scientist,2,2368,1,No,3,2,5,4,4,3
58,Yes,Travel_Rarely,Research & Development,23,165,4,3,Healthcare Representative,4,10312,1,No,3,2,40,10,15,6
19,Yes,Travel_Rarely,Sales,22,167,4,3,Sales Representative,3,1675,1,Yes,2,2,0,0,0,0
22,No,Travel_Rarely,Research & Development,2,169,3,3,Laboratory Technician,4,2523,0,No,2,3,2,1,2,1
49,No,Travel_Rarely,Research & Development,20,170,3,3,Manufacturing Director,1,6567,1,No,2,2,15,11,5,11
43,No,Travel_Frequently,Research & Development,28,171,2,4,Research Scientist,3,4739,4,No,2,3,3,2,1,2
50,No,Travel_Frequently,Sales,12,174,3,3,Sales Executive,4,9208,4,No,3,3,2,2,2,1
31,Yes,Travel_Rarely,Sales,20,175,2,1,Sales Executive,3,4559,3,Yes,2,3,2,2,2,2
41,No,Travel_Rarely,Sales,9,176,3,3,Sales Executive,3,8189,3,Yes,2,3,9,7,0,7
26,No,Travel_Rarely,Human Resources,25,177,3,3,Human Resources,3,2942,1,No,3,3,8,7,5,7
36,No,Travel_Rarely,Research & Development,6,178,2,3,Manufacturing Director,2,4941,6,No,0,3,3,2,0,1
51,Yes,Travel_Frequently,Research & Development,8,179,1,1,Manufacturing Director,4,10650,2,No,2,3,4,2,0,3
39,No,Travel_Rarely,Sales,4,182,4,2,Sales Executive,3,5902,4,No,1,4,15,11,5,9
25,No,Travel_Rarely,Sales,28,183,1,2,Sales Executive,3,8639,2,No,3,3,2,2,2,2
30,No,Travel_Rarely,Human Resources,9,184,3,3,Human Resources,4,6347,0,Yes,2,1,11,9,4,7
32,Yes,Travel_Rarely,Research & Development,9,190,1,3,Laboratory Technician,1,4200,7,No,2,4,5,4,0,4
45,No,Travel_Rarely,Research & Development,29,192,3,3,Research Scientist,4,3452,5,No,2,2,6,5,0,3
38,No,Travel_Rarely,Research & Development,3,193,4,3,Research Scientist,3,4317,3,Yes,2,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,18,194,1,3,Research Scientist,3,2632,1,No,4,2,5,4,0,4
32,No,Travel_Frequently,Sales,9,195,4,1,Sales Executive,4,4668,0,No,2,4,8,7,0,7
30,No,Travel_Rarely,Research & Development,5,197,4,3,Research Scientist,1,3204,5,No,3,3,3,2,2,2
30,No,Travel_Rarely,Research & Development,2,198,2,2,Laboratory Technician,4,2720,0,No,3,3,5,3,1,2
41,No,Travel_Frequently,Research & Development,10,199,4,2,Manager,1,17181,4,No,2,2,7,6,7,7
41,No,Travel_Rarely,Research & Development,9,200,3,3,Laboratory Technician,1,2238,2,No,2,3,5,0,1,4
19,No,Travel_Rarely,Research & Development,3,201,2,3,Laboratory Technician,2,1483,1,No,3,3,1,0,0,0
40,No,Travel_Frequently,Research & Development,26,202,2,3,Research Scientist,2,5605,1,No,2,3,20,7,2,13
35,No,Travel_Rarely,Sales,1,204,3,3,Sales Executive,2,7295,1,No,3,3,10,8,0,6
53,No,Travel_Rarely,Sales,6,205,2,3,Sales Representative,3,2306,2,Yes,3,1,7,7,4,5
45,No,Travel_Rarely,Research & Development,9,206,2,3,Laboratory Technician,2,2348,8,No,2,1,17,9,0,15
32,No,Travel_Frequently,Sales,8,207,2,3,Sales Executive,4,8998,1,No,2,3,9,8,3,7
29,No,Non-Travel,Research & Development,1,208,4,3,Manufacturing Director,3,4319,1,No,1,3,10,7,0,9
51,No,Travel_Rarely,Research & Development,7,211,2,2,Manufacturing Director,3,6132,2,No,2,3,1,0,0,0
58,No,Travel_Rarely,Research & Development,9,214,2,2,Research Scientist,2,3346,4,Yes,3,2,1,0,0,0
40,No,Travel_Rarely,Sales,4,215,3,2,Sales Executive,4,10855,7,No,2,2,12,11,2,11
34,No,Travel_Frequently,Sales,2,216,3,3,Sales Representative,3,2231,6,No,3,3,4,3,1,2
22,No,Travel_Rarely,Research & Development,19,217,3,3,Research Scientist,4,2323,1,No,6,3,2,2,2,2
27,No,Non-Travel,Research & Development,9,218,4,3,Research Scientist,2,2024,6,No,1,1,2,2,2,2
28,No,Travel_Rarely,Research & Development,21,221,3,3,Research Scientist,4,2713,1,No,2,1,5,2,0,2
57,No,Travel_Rarely,Research & Development,24,223,3,4,Healthcare Representative,4,9439,3,Yes,2,1,5,3,1,4
27,No,Non-Travel,Research & Development,3,224,3,2,Research Scientist,3,2566,1,Yes,2,2,1,1,0,1
50,No,Travel_Rarely,Research & Development,11,226,3,3,Manager,2,19926,3,No,5,3,5,4,4,4
41,No,Travel_Rarely,Research & Development,14,227,1,3,Research Scientist,3,2451,4,No,2,3,9,8,1,8
30,No,Travel_Rarely,Sales,5,228,2,3,Sales Executive,4,9419,2,No,2,3,10,9,7,4
38,No,Travel_Rarely,Sales,1,230,1,2,Sales Executive,4,8686,4,No,2,4,8,3,0,7
32,No,Travel_Rarely,Research & Development,6,231,3,3,Research Scientist,3,3038,3,No,2,3,5,4,1,4
27,No,Travel_Rarely,Research & Development,17,233,3,3,Research Scientist,2,3058,0,Yes,3,2,5,2,1,1
19,Yes,Travel_Frequently,Sales,1,235,3,1,Sales Representative,1,2325,0,No,5,4,0,0,0,0
36,No,Travel_Frequently,Research & Development,3,238,4,3,Laboratory Technician,2,2088,4,No,3,2,8,7,7,2
30,No,Non-Travel,Research & Development,9,239,3,3,Laboratory Technician,1,3072,1,No,4,3,12,9,6,10
45,No,Travel_Rarely,Sales,4,240,3,3,Sales Executive,1,5006,4,Yes,3,4,5,4,0,3
56,No,Travel_Rarely,Research & Development,8,241,3,3,Research Scientist,1,4257,4,Yes,3,3,2,2,2,2
33,No,Travel_Rarely,Research & Development,2,242,3,3,Research Scientist,4,2500,0,No,2,4,3,1,0,2
19,Yes,Travel_Rarely,Research & Development,2,243,2,2,Laboratory Technician,4,1102,1,No,3,2,1,0,1,0
46,No,Travel_Rarely,Sales,1,244,2,3,Sales Executive,1,10453,1,No,2,3,24,13,15,7
38,No,Travel_Rarely,Research & Development,9,245,3,3,Laboratory Technician,4,2288,1,No,3,3,2,2,2,1
31,No,Travel_Rarely,Research & Development,12,246,3,3,Research Scientist,4,3929,8,Yes,0,3,4,2,0,2
34,No,Travel_Rarely,Research & Development,27,247,4,3,Research Scientist,2,2311,2,No,3,3,3,2,1,2
41,Yes,Travel_Rarely,Sales,20,248,2,3,Sales Representative,2,3140,1,Yes,5,2,4,3,0,2
50,No,Travel_Rarely,Research & Development,1,249,3,2,Laboratory Technician,3,3690,2,No,2,2,3,2,0,2
53,No,Travel_Rarely,Research & Development,13,250,4,4,Manufacturing Director,1,4450,1,No,3,3,4,2,1,3
33,No,Travel_Rarely,Research & Development,14,252,4,3,Research Scientist,2,2756,1,No,5,3,8,7,1,6
40,No,Travel_Rarely,Research & Development,4,253,4,3,Manager,3,19033,1,No,2,3,20,8,9,9
55,No,Travel_Rarely,Research & Development,14,254,3,4,Research Director,2,18722,8,No,3,3,24,15,2,15
34,No,Travel_Frequently,Research & Development,2,256,4,2,Manufacturing Director,3,9547,1,No,2,2,10,9,1,9
51,No,Travel_Rarely,Research & Development,3,258,4,3,Healthcare Representative,2,13734,3,No,6,3,7,7,1,0
52,No,Travel_Rarely,Research & Development,1,259,3,2,Manager,3,19999,0,No,5,3,33,18,11,9
27,No,Travel_Rarely,Research & Development,9,260,4,3,Research Scientist,2,2279,1,No,2,2,7,7,0,3
35,Yes,Travel_Rarely,Research & Development,23,261,2,2,Manufacturing Director,3,5916,3,Yes,1,3,1,0,0,1
43,No,Non-Travel,Research & Development,7,262,4,4,Research Scientist,4,2089,4,No,3,4,5,4,2,2
45,No,Non-Travel,Research & Development,2,264,1,2,Manager,4,16792,9,No,1,3,20,8,11,8
37,No,Travel_Rarely,Research & Development,21,267,2,4,Research Scientist,1,3564,1,Yes,3,2,8,7,1,7
35,No,Travel_Frequently,Research & Development,2,269,2,3,Laboratory Technician,2,4425,5,No,5,3,6,2,1,2
42,No,Non-Travel,Research & Development,21,270,3,3,Manufacturing Director,3,5265,2,No,5,3,5,3,0,2
38,No,Travel_Rarely,Research & Development,2,271,4,3,Manufacturing Director,3,6553,9,No,3,3,1,0,0,0
38,No,Travel_Rarely,Research & Development,29,273,4,3,Manufacturing Director,4,6261,3,No,3,1,7,7,1,7
27,No,Travel_Frequently,Research & Development,1,274,3,2,Manufacturing Director,1,4298,5,No,1,3,2,2,2,0
49,No,Non-Travel,Research & Development,18,275,4,3,Manufacturing Director,4,6804,1,Yes,0,3,7,7,1,7
34,No,Travel_Frequently,Research & Development,10,277,4,3,Research Scientist,3,3815,1,Yes,4,4,5,3,2,0
40,No,Travel_Rarely,Research & Development,19,281,3,3,Laboratory Technician,4,2741,8,Yes,2,4,7,2,3,7
38,Yes,Travel_Rarely,Research & Development,29,282,2,3,Healthcare Representative,1,6673,7,Yes,2,3,1,0,0,0
29,Yes,Travel_Rarely,Sales,27,283,2,3,Sales Executive,4,7639,1,No,3,2,10,4,1,9
22,No,Travel_Rarely,Research & Development,5,284,4,4,Research Scientist,2,2328,1,Yes,2,2,4,2,2,2
36,No,Travel_Frequently,Research & Development,18,286,2,3,Laboratory Technician,4,2153,1,No,2,3,8,1,1,7
40,No,Non-Travel,Research & Development,9,287,4,2,Healthcare Representative,4,4876,9,No,5,1,3,2,0,2
46,No,Travel_Rarely,Research & Development,1,288,4,3,Healthcare Representative,1,9396,7,No,3,3,4,2,0,3
32,Yes,Travel_Rarely,Sales,4,291,4,1,Sales Executive,4,10400,1,No,2,2,14,8,9,8
30,No,Non-Travel,Research & Development,1,292,3,2,Manufacturing Director,3,8474,1,No,2,3,11,8,5,8
27,No,Travel_Frequently,Sales,20,293,4,3,Sales Executive,3,9981,1,No,2,3,7,7,0,7
51,No,Travel_Rarely,Research & Development,8,296,2,2,Research Director,2,12490,5,No,5,1,10,9,4,7
30,Yes,Travel_Rarely,Research & Development,3,297,4,3,Research Scientist,1,2657,5,Yes,5,3,5,2,0,4
41,No,Travel_Rarely,Sales,6,298,4,3,Manager,4,13591,3,Yes,3,3,1,0,0,0
30,Yes,Travel_Frequently,Sales,26,299,3,2,Sales Executive,1,6696,5,No,5,2,6,3,0,1
29,Yes,Travel_Rarely,Research & Development,1,300,3,3,Research Scientist,3,2058,0,No,1,2,6,2,1,5
45,No,Non-Travel,Sales,6,302,4,2,Sales Executive,4,8865,6,No,2,3,19,7,12,8
54,No,Travel_Rarely,Sales,3,303,4,3,Sales Executive,1,5940,2,No,4,3,6,2,0,5
36,No,Travel_Rarely,Research & Development,5,304,4,3,Laboratory Technician,2,5914,8,No,3,4,13,11,3,7
33,No,Travel_Rarely,Research & Development,4,305,3,2,Research Scientist,2,2622,6,No,3,3,3,2,1,1
37,No,Travel_Frequently,Research & Development,11,306,2,3,Research Director,4,12185,1,Yes,1,3,10,8,0,7
38,No,Travel_Rarely,Sales,3,307,1,3,Sales Executive,3,10609,0,No,6,2,16,10,5,13
31,No,Non-Travel,Research & Development,1,308,3,1,Manufacturing Director,3,4345,0,No,2,3,5,4,1,4
59,No,Travel_Rarely,Research & Development,3,309,3,2,Research Scientist,4,2177,3,No,6,3,1,0,0,0
37,No,Travel_Frequently,Sales,4,311,1,3,Sales Representative,4,2793,4,No,2,3,9,8,5,8
29,No,Travel_Frequently,Sales,1,312,2,3,Sales Executive,4,7918,1,No,5,3,11,10,4,1
35,No,Travel_Frequently,Sales,1,314,3,3,Sales Executive,3,8789,1,No,3,4,10,7,0,8
29,Yes,Travel_Rarely,Research & Development,18,315,3,2,Research Scientist,4,2389,1,Yes,3,2,4,3,0,1
52,No,Travel_Rarely,Research & Development,2,316,3,2,Laboratory Technician,4,3212,7,No,3,2,2,2,2,2
42,No,Travel_Rarely,Research & Development,4,319,3,3,Manager,4,19232,1,No,3,3,22,17,11,15
59,No,Travel_Rarely,Human Resources,6,321,2,3,Human Resources,3,2267,8,No,2,2,2,2,2,2
50,No,Travel_Rarely,Sales,1,323,4,3,Manager,4,19517,3,No,3,2,7,0,0,6
33,Yes,Travel_Rarely,Research & Development,14,325,3,3,Laboratory Technician,4,2436,5,Yes,2,1,5,4,0,4
43,No,Travel_Rarely,Sales,16,327,4,3,Manager,4,16064,5,Yes,3,3,17,13,1,9
33,Yes,Travel_Rarely,Research & Development,2,328,1,3,Laboratory Technician,1,2707,7,No,3,4,9,7,1,7
52,No,Non-Travel,Sales,2,329,1,2,Manager,3,19068,1,Yes,2,4,33,7,15,12
32,No,Travel_Rarely,Sales,4,330,3,3,Sales Representative,2,3931,2,No,5,3,4,3,1,2
32,Yes,Travel_Rarely,Research & Development,1,331,4,2,Laboratory Technician,3,3730,0,Yes,2,1,3,2,1,2
39,No,Travel_Rarely,Research & Development,1,332,3,3,Laboratory Technician,3,2232,7,No,1,3,3,2,1,2
32,No,Non-Travel,Sales,26,333,3,3,Sales Executive,4,4465,0,No,2,3,3,2,2,2
41,No,Travel_Rarely,Research & Development,19,334,3,3,Research Scientist,1,3072,2,No,2,2,1,0,0,0
40,No,Travel_Rarely,Research & Development,24,335,1,3,Research Scientist,4,3319,1,No,3,3,9,8,4,7
45,No,Travel_Rarely,Research & Development,1,336,3,4,Manager,4,19202,0,No,2,3,24,0,1,7
31,No,Travel_Frequently,Research & Development,3,337,2,3,Research Director,3,13675,9,No,3,3,2,2,2,2
